year,age,industry,female,male
2000,55-59,Wholesale & Retail Trade,2700,8000
2021,60-64,Wholesale & Retail Trade,15600,17500
2020,60-64,Wholesale & Retail Trade,14100,16100
2019,60-64,Wholesale & Retail Trade,14600,16100
2018,60-64,Wholesale & Retail Trade,12900,15800
2017,60-64,Wholesale & Retail Trade,12500,15500
2016,60-64,Wholesale & Retail Trade,13200,15400
2015,60-64,Wholesale & Retail Trade,11100,14700
2014,60-64,Wholesale & Retail Trade,10300,13600
2013,60-64,Wholesale & Retail Trade,8900,12600
2012,60-64,Wholesale & Retail Trade,8700,11900
2011,60-64,Wholesale & Retail Trade,6900,10200
2010,60-64,Wholesale & Retail Trade,5900,9800
2009,60-64,Wholesale & Retail Trade,4600,9300
2008,60-64,Wholesale & Retail Trade,4400,8000
2007,60-64,Wholesale & Retail Trade,3300,7400
2006,60-64,Wholesale & Retail Trade,2500,6600
2005,60-64,Wholesale & Retail Trade,1900,5700
2004,60-64,Wholesale & Retail Trade,1700,6200
2003,60-64,Wholesale & Retail Trade,1900,6200
2002,60-64,Wholesale & Retail Trade,1400,6100
2001,60-64,Wholesale & Retail Trade,1800,6200
2000,60-64,Wholesale & Retail Trade,1200,5000
2021,65 and older,Wholesale & Retail Trade,14000,19900
2020,65 and older,Wholesale & Retail Trade,12000,17900
2019,65 and older,Wholesale & Retail Trade,11300,17200
2018,65 and older,Wholesale & Retail Trade,10400,14400
2017,65 and older,Wholesale & Retail Trade,10300,15500
2016,65 and older,Wholesale & Retail Trade,8000,15100
2015,65 and older,Wholesale & Retail Trade,7100,12800
2014,65 and older,Wholesale & Retail Trade,8700,13300
2013,65 and older,Wholesale & Retail Trade,5900,10300
2012,65 and older,Wholesale & Retail Trade,4700,8900
2011,65 and older,Wholesale & Retail Trade,4000,7900
2010,65 and older,Wholesale & Retail Trade,3100,6300
2009,65 and older,Wholesale & Retail Trade,2900,7100
2008,65 and older,Wholesale & Retail Trade,2200,7000
2007,65 and older,Wholesale & Retail Trade,2800,6300
2006,65 and older,Wholesale & Retail Trade,2300,7100
2005,65 and older,Wholesale & Retail Trade,1400,5600
2004,65 and older,Wholesale & Retail Trade,1600,4900
2003,65 and older,Wholesale & Retail Trade,1500,5200
2002,65 and older,Wholesale & Retail Trade,1100,4700
2001,65 and older,Wholesale & Retail Trade,1300,6100
2000,65 and older,Wholesale & Retail Trade,1100,5200
2021,15-19,Transportation & Storage,600,600
2020,15-19,Transportation & Storage,400,700
2019,15-19,Transportation & Storage,500,800
2018,15-19,Transportation & Storage,500,900
2017,15-19,Transportation & Storage,600,400
2016,15-19,Transportation & Storage,300,100
2015,15-19,Transportation & Storage,400,300
2014,15-19,Transportation & Storage,200,300
2013,15-19,Transportation & Storage,300,300
2012,15-19,Transportation & Storage,500,300
2011,15-19,Transportation & Storage,400,300
2010,15-19,Transportation & Storage,400,400
2009,15-19,Transportation & Storage,200,200
2008,15-19,Transportation & Storage,500,400
2007,15-19,Transportation & Storage,600,400
2006,15-19,Transportation & Storage,400,300
2005,15-19,Transportation & Storage,200,300
2004,15-19,Transportation & Storage,300,300
2003,15-19,Transportation & Storage,300,100
2002,15-19,Transportation & Storage,200,400
2001,15-19,Transportation & Storage,800,300
2000,15-19,Transportation & Storage,500,200
2021,20-24,Transportation & Storage,2400,4800
2020,20-24,Transportation & Storage,4000,4900
2019,20-24,Transportation & Storage,3300,4600
2018,20-24,Transportation & Storage,3900,3800
2017,20-24,Transportation & Storage,3200,5000
2016,20-24,Transportation & Storage,4300,3400
2015,20-24,Transportation & Storage,4000,3500
2014,20-24,Transportation & Storage,3800,3300
2013,20-24,Transportation & Storage,4500,3500
2012,20-24,Transportation & Storage,4200,3600
2011,20-24,Transportation & Storage,4700,3400
2010,20-24,Transportation & Storage,3500,3700
2009,20-24,Transportation & Storage,3800,3100
2008,20-24,Transportation & Storage,3900,3600
2007,20-24,Transportation & Storage,4100,3300
2006,20-24,Transportation & Storage,3800,3100
2005,20-24,Transportation & Storage,4300,2900
2004,20-24,Transportation & Storage,4000,2300
2003,20-24,Transportation & Storage,4600,2300
2002,20-24,Transportation & Storage,3900,2200
2001,20-24,Transportation & Storage,5000,3100
2000,20-24,Transportation & Storage,4200,3200
2021,25-29,Transportation & Storage,5600,11600
2020,25-29,Transportation & Storage,5400,10500
2019,25-29,Transportation & Storage,5700,13100
2018,25-29,Transportation & Storage,5800,10600
2017,25-29,Transportation & Storage,4600,9800
2016,25-29,Transportation & Storage,5200,8600
2015,25-29,Transportation & Storage,5000,8400
2014,25-29,Transportation & Storage,5500,9100
2013,25-29,Transportation & Storage,6900,7800
2012,25-29,Transportation & Storage,6000,9300
2011,25-29,Transportation & Storage,6400,8500
2010,25-29,Transportation & Storage,7000,10000
2009,25-29,Transportation & Storage,6400,8600
2008,25-29,Transportation & Storage,6800,7700
2007,25-29,Transportation & Storage,6600,8000
2006,25-29,Transportation & Storage,7000,7400
2005,25-29,Transportation & Storage,6400,7400
2004,25-29,Transportation & Storage,6500,7000
2003,25-29,Transportation & Storage,6100,8300
2002,25-29,Transportation & Storage,7400,9600
2001,25-29,Transportation & Storage,8600,10400
2000,25-29,Transportation & Storage,7100,10200
2021,30-34,Transportation & Storage,7500,13300
2020,30-34,Transportation & Storage,6500,13600
2019,30-34,Transportation & Storage,5400,12400
2018,30-34,Transportation & Storage,5700,12000
2017,30-34,Transportation & Storage,5000,9700
2016,30-34,Transportation & Storage,5800,10600
2015,30-34,Transportation & Storage,5700,10200
2014,30-34,Transportation & Storage,6400,9900
2013,30-34,Transportation & Storage,7000,10500
2012,30-34,Transportation & Storage,6000,9600
2011,30-34,Transportation & Storage,6800,10300
2010,30-34,Transportation & Storage,7300,11400
2009,30-34,Transportation & Storage,5600,9300
2008,30-34,Transportation & Storage,6000,10400
2007,30-34,Transportation & Storage,6200,11200
2006,30-34,Transportation & Storage,6300,11200
2005,30-34,Transportation & Storage,5800,12300
2004,30-34,Transportation & Storage,7200,11700
2003,30-34,Transportation & Storage,7100,12000
2002,30-34,Transportation & Storage,6900,12500
2001,30-34,Transportation & Storage,6800,13800
2000,30-34,Transportation & Storage,5200,13000
2021,35-39,Transportation & Storage,6100,12200
2020,35-39,Transportation & Storage,6800,13200
2019,35-39,Transportation & Storage,5600,12800
2018,35-39,Transportation & Storage,5800,12700
2017,35-39,Transportation & Storage,5900,14000
2016,35-39,Transportation & Storage,6000,12500
2015,35-39,Transportation & Storage,6000,11700
2014,35-39,Transportation & Storage,5500,11800
2013,35-39,Transportation & Storage,6300,12600
2012,35-39,Transportation & Storage,6700,11500
2011,35-39,Transportation & Storage,5700,12000
2010,35-39,Transportation & Storage,7300,14300
2009,35-39,Transportation & Storage,6300,12800
2008,35-39,Transportation & Storage,6500,13000
2007,35-39,Transportation & Storage,5100,13400
2006,35-39,Transportation & Storage,5500,14200
2005,35-39,Transportation & Storage,4900,14800
2004,35-39,Transportation & Storage,5800,15300
2003,35-39,Transportation & Storage,5700,15100
2002,35-39,Transportation & Storage,5500,18500
2001,35-39,Transportation & Storage,6300,19200
2000,35-39,Transportation & Storage,4300,17400
2021,40-44,Transportation & Storage,6600,15000
2020,40-44,Transportation & Storage,6200,15200
2019,40-44,Transportation & Storage,6700,13600
2018,40-44,Transportation & Storage,6000,14900
2017,40-44,Transportation & Storage,5400,15700
2016,40-44,Transportation & Storage,5600,14100
2015,40-44,Transportation & Storage,6300,14400
2014,40-44,Transportation & Storage,5500,13600
2013,40-44,Transportation & Storage,6100,14500
2012,40-44,Transportation & Storage,6500,14600
2011,40-44,Transportation & Storage,5800,15900
2010,40-44,Transportation & Storage,5400,17300
2009,40-44,Transportation & Storage,5000,19200
2008,40-44,Transportation & Storage,5600,18800
2007,40-44,Transportation & Storage,5600,19100
2006,40-44,Transportation & Storage,5000,18700
2005,40-44,Transportation & Storage,4500,18800
2004,40-44,Transportation & Storage,6100,18700
2003,40-44,Transportation & Storage,5600,21300
2002,40-44,Transportation & Storage,4800,22200
2001,40-44,Transportation & Storage,5600,22900
2000,40-44,Transportation & Storage,4300,21800
2021,45-49,Transportation & Storage,5900,18400
2020,45-49,Transportation & Storage,5800,18500
2019,45-49,Transportation & Storage,6300,18800
2018,45-49,Transportation & Storage,6700,16900
2017,45-49,Transportation & Storage,5200,18100
2016,45-49,Transportation & Storage,4500,16900
2015,45-49,Transportation & Storage,3900,15600
2014,45-49,Transportation & Storage,5500,17700
2013,45-49,Transportation & Storage,4900,19300
2012,45-49,Transportation & Storage,6100,20800
2011,45-49,Transportation & Storage,5400,22100
2010,45-49,Transportation & Storage,5000,22900
2009,45-49,Transportation & Storage,5200,22400
2008,45-49,Transportation & Storage,5500,24000
2007,45-49,Transportation & Storage,4800,25100
2006,45-49,Transportation & Storage,4800,25000
2005,45-49,Transportation & Storage,4400,23600
2004,45-49,Transportation & Storage,4900,23800
2003,45-49,Transportation & Storage,3700,24400
2002,45-49,Transportation & Storage,3800,23000
2001,45-49,Transportation & Storage,4200,24700
2000,45-49,Transportation & Storage,3300,21700
2021,50-54,Transportation & Storage,3400,14600
2020,50-54,Transportation & Storage,5900,21200
2019,50-54,Transportation & Storage,5100,21000
2018,50-54,Transportation & Storage,5000,22000
2017,50-54,Transportation & Storage,4900,21700
2016,50-54,Transportation & Storage,5200,22400
2015,50-54,Transportation & Storage,6200,22900
2014,50-54,Transportation & Storage,5000,22200
2013,50-54,Transportation & Storage,5500,25300
2012,50-54,Transportation & Storage,5100,23600
2011,50-54,Transportation & Storage,5500,26300
2010,50-54,Transportation & Storage,4300,24600
2009,50-54,Transportation & Storage,4200,25600
2008,50-54,Transportation & Storage,5300,24900
2007,50-54,Transportation & Storage,4300,26300
2006,50-54,Transportation & Storage,3300,24800
2005,50-54,Transportation & Storage,3200,22200
2004,50-54,Transportation & Storage,3400,22400
2003,50-54,Transportation & Storage,2800,21200
2002,50-54,Transportation & Storage,2400,21600
2001,50-54,Transportation & Storage,2600,18900
2000,50-54,Transportation & Storage,1700,16100
2021,55-59,Transportation & Storage,4400,19600
2020,55-59,Transportation & Storage,5200,23500
2019,55-59,Transportation & Storage,5300,22100
2018,55-59,Transportation & Storage,4300,22600
2017,55-59,Transportation & Storage,4100,22800
2016,55-59,Transportation & Storage,4300,23100
2015,55-59,Transportation & Storage,4800,23500
2014,55-59,Transportation & Storage,4800,24600
2013,55-59,Transportation & Storage,4000,24100
2012,55-59,Transportation & Storage,3400,24000
2011,55-59,Transportation & Storage,3400,23300
2010,55-59,Transportation & Storage,3200,23400
2009,55-59,Transportation & Storage,2500,20300
2008,55-59,Transportation & Storage,2900,19200
2007,55-59,Transportation & Storage,1800,19100
2006,55-59,Transportation & Storage,2100,18600
2005,55-59,Transportation & Storage,1700,13700
2004,55-59,Transportation & Storage,1200,14300
2003,55-59,Transportation & Storage,1200,12100
2002,55-59,Transportation & Storage,1300,10200
2001,55-59,Transportation & Storage,600,8600
2000,55-59,Transportation & Storage,500,7800
2021,60-64,Transportation & Storage,4000,22500
2020,60-64,Transportation & Storage,3700,23200
2019,60-64,Transportation & Storage,3600,19800
2018,60-64,Transportation & Storage,2800,20400
2017,60-64,Transportation & Storage,2900,20700
2016,60-64,Transportation & Storage,2500,19000
2015,60-64,Transportation & Storage,2800,18800
2014,60-64,Transportation & Storage,2400,19800
2013,60-64,Transportation & Storage,1700,16100
2012,60-64,Transportation & Storage,2200,16400
2011,60-64,Transportation & Storage,1600,15800
2010,60-64,Transportation & Storage,1600,12400
2009,60-64,Transportation & Storage,1100,11800
2008,60-64,Transportation & Storage,1400,10600
2007,60-64,Transportation & Storage,800,8400
2006,60-64,Transportation & Storage,600,7700
2005,60-64,Transportation & Storage,300,5500
2004,60-64,Transportation & Storage,200,5500
2003,60-64,Transportation & Storage,300,5800
2002,60-64,Transportation & Storage,300,5900
2001,60-64,Transportation & Storage,300,5800
2000,60-64,Transportation & Storage,200,4800
2021,65 and older,Transportation & Storage,3000,18500
2020,65 and older,Transportation & Storage,2800,17800
2019,65 and older,Transportation & Storage,2000,17000
2018,65 and older,Transportation & Storage,1500,14100
2017,65 and older,Transportation & Storage,1200,15000
2016,65 and older,Transportation & Storage,1600,12400
2015,65 and older,Transportation & Storage,1100,12000
2014,65 and older,Transportation & Storage,1300,10600
2013,65 and older,Transportation & Storage,600,10600
2012,65 and older,Transportation & Storage,600,8500
2011,65 and older,Transportation & Storage,600,8000
2010,65 and older,Transportation & Storage,400,5700
2009,65 and older,Transportation & Storage,300,6100
2008,65 and older,Transportation & Storage,300,5100
2007,65 and older,Transportation & Storage,500,5300
2006,65 and older,Transportation & Storage,300,3800
2005,65 and older,Transportation & Storage,100,2700
2004,65 and older,Transportation & Storage,200,3000
2003,65 and older,Transportation & Storage,200,3200
2002,65 and older,Transportation & Storage,100,2900
2001,65 and older,Transportation & Storage,100,2200
2000,65 and older,Transportation & Storage,100,2000
2021,15-19,Accommodation & Food Services,2900,2500
2020,15-19,Accommodation & Food Services,2000,1900
2019,15-19,Accommodation & Food Services,2900,2000
2018,15-19,Accommodation & Food Services,3000,2700
2017,15-19,Accommodation & Food Services,2600,2800
2016,15-19,Accommodation & Food Services,4100,1900
2015,15-19,Accommodation & Food Services,3300,2400
2014,15-19,Accommodation & Food Services,2700,2900
2013,15-19,Accommodation & Food Services,3200,2500
2012,15-19,Accommodation & Food Services,2300,2500
2011,15-19,Accommodation & Food Services,1700,2700
2010,15-19,Accommodation & Food Services,2700,2500
2009,15-19,Accommodation & Food Services,2500,2100
2008,15-19,Accommodation & Food Services,2300,2000
2007,15-19,Accommodation & Food Services,2600,2900
2006,15-19,Accommodation & Food Services,3600,3100
2005,15-19,Accommodation & Food Services,1600,800
2004,15-19,Accommodation & Food Services,2900,1800
2003,15-19,Accommodation & Food Services,2000,1900
2002,15-19,Accommodation & Food Services,2000,1700
2001,15-19,Accommodation & Food Services,2000,2200
2000,15-19,Accommodation & Food Services,1300,800
2021,20-24,Accommodation & Food Services,4500,3200
2020,20-24,Accommodation & Food Services,4300,2500
2019,20-24,Accommodation & Food Services,5700,4600
2018,20-24,Accommodation & Food Services,5400,4400
2017,20-24,Accommodation & Food Services,4600,4600
2016,20-24,Accommodation & Food Services,5100,4600
2015,20-24,Accommodation & Food Services,4700,5100
2014,20-24,Accommodation & Food Services,5000,4700
2013,20-24,Accommodation & Food Services,4400,4300
2012,20-24,Accommodation & Food Services,4800,4200
2011,20-24,Accommodation & Food Services,5700,4400
2010,20-24,Accommodation & Food Services,4400,3500
2009,20-24,Accommodation & Food Services,4400,3900
2008,20-24,Accommodation & Food Services,3700,3600
2007,20-24,Accommodation & Food Services,4000,3700
2006,20-24,Accommodation & Food Services,4000,4100
2005,20-24,Accommodation & Food Services,3000,3100
2004,20-24,Accommodation & Food Services,3200,3400
2003,20-24,Accommodation & Food Services,3700,3000
2002,20-24,Accommodation & Food Services,2800,2500
2001,20-24,Accommodation & Food Services,3300,3000
2000,20-24,Accommodation & Food Services,2700,2600
2021,25-29,Accommodation & Food Services,3500,4600
2020,25-29,Accommodation & Food Services,4800,5000
2019,25-29,Accommodation & Food Services,3300,4500
2018,25-29,Accommodation & Food Services,4900,4900
2017,25-29,Accommodation & Food Services,3500,4200
2016,25-29,Accommodation & Food Services,4900,4800
2015,25-29,Accommodation & Food Services,4800,4800
2014,25-29,Accommodation & Food Services,4200,4500
2013,25-29,Accommodation & Food Services,4600,4400
2012,25-29,Accommodation & Food Services,3800,3700
2011,25-29,Accommodation & Food Services,4400,3800
2010,25-29,Accommodation & Food Services,3300,4600
2009,25-29,Accommodation & Food Services,3800,5200
2008,25-29,Accommodation & Food Services,3400,3800
2007,25-29,Accommodation & Food Services,3900,4800
2006,25-29,Accommodation & Food Services,3700,4800
2005,25-29,Accommodation & Food Services,3500,3800
2004,25-29,Accommodation & Food Services,3200,4000
2003,25-29,Accommodation & Food Services,3800,3700
2002,25-29,Accommodation & Food Services,2800,4100
2001,25-29,Accommodation & Food Services,3500,3400
2000,25-29,Accommodation & Food Services,3000,4300
2021,30-34,Accommodation & Food Services,5100,4300
2020,30-34,Accommodation & Food Services,5400,4500
2019,30-34,Accommodation & Food Services,3600,4100
2018,30-34,Accommodation & Food Services,4700,4200
2017,30-34,Accommodation & Food Services,4300,4800
2016,30-34,Accommodation & Food Services,4100,3900
2015,30-34,Accommodation & Food Services,4600,3800
2014,30-34,Accommodation & Food Services,4900,4500
