year,age,sex,industry,numberOfWorkers,,,,,,,,,,,,,,,
2007,50-54,male,Manufacturing,21400,,,,,,,,,,,,,,,
2006,50-54,male,Manufacturing,20900,,,,,,,,,,,,,,,
2005,50-54,male,Manufacturing,18100,,,,,,,,,,,,,,,
2004,50-54,male,Manufacturing,20600,,,,,,,,,,,,,,,
2003,50-54,male,Manufacturing,19700,,,,,,,,,,,,,,,
2002,50-54,male,Manufacturing,18900,,,,,,,,,,,,,,,
2001,50-54,male,Manufacturing,18900,,,,,,,,,,,,,,,
2000,50-54,male,Manufacturing,14700,,,,,,,,,,,,,,,
2021,55-59,male,Manufacturing,15400,,,,,,,,,,,,,,,
2020,55-59,male,Manufacturing,16400,,,,,,,,,,,,,,,
2019,55-59,male,Manufacturing,16600,,,,,,,,,,,,,,,
2018,55-59,male,Manufacturing,17600,,,,,,,,,,,,,,,
2017,55-59,male,Manufacturing,16400,,,,,,,,,,,,,,,
2016,55-59,male,Manufacturing,15800,,,,,,,,,,,,,,,
2015,55-59,male,Manufacturing,16300,,,,,,,,,,,,,,,
2014,55-59,male,Manufacturing,19000,,,,,,,,,,,,,,,
2013,55-59,male,Manufacturing,18300,,,,,,,,,,,,,,,
2012,55-59,male,Manufacturing,20400,,,,,,,,,,,,,,,
2011,55-59,male,Manufacturing,18100,,,,,,,,,,,,,,,
2010,55-59,male,Manufacturing,15100,,,,,,,,,,,,,,,
2009,55-59,male,Manufacturing,16800,,,,,,,,,,,,,,,
2008,55-59,male,Manufacturing,16100,,,,,,,,,,,,,,,
2007,55-59,male,Manufacturing,15300,,,,,,,,,,,,,,,
2006,55-59,male,Manufacturing,13500,,,,,,,,,,,,,,,
2005,55-59,male,Manufacturing,10100,,,,,,,,,,,,,,,
2004,55-59,male,Manufacturing,12100,,,,,,,,,,,,,,,
2003,55-59,male,Manufacturing,10800,,,,,,,,,,,,,,,
2002,55-59,male,Manufacturing,8200,,,,,,,,,,,,,,,
2001,55-59,male,Manufacturing,6300,,,,,,,,,,,,,,,
2000,55-59,male,Manufacturing,6300,,,,,,,,,,,,,,,
2021,60-64,male,Manufacturing,11900,,,,,,,,,,,,,,,
2020,60-64,male,Manufacturing,11500,,,,,,,,,,,,,,,
2019,60-64,male,Manufacturing,13200,,,,,,,,,,,,,,,
2018,60-64,male,Manufacturing,11600,,,,,,,,,,,,,,,
2017,60-64,male,Manufacturing,12400,,,,,,,,,,,,,,,
2016,60-64,male,Manufacturing,11400,,,,,,,,,,,,,,,
2015,60-64,male,Manufacturing,11700,,,,,,,,,,,,,,,
2014,60-64,male,Manufacturing,12400,,,,,,,,,,,,,,,
2013,60-64,male,Manufacturing,11200,,,,,,,,,,,,,,,
2012,60-64,male,Manufacturing,10600,,,,,,,,,,,,,,,
2011,60-64,male,Manufacturing,9900,,,,,,,,,,,,,,,
2010,60-64,male,Manufacturing,8500,,,,,,,,,,,,,,,
2009,60-64,male,Manufacturing,8100,,,,,,,,,,,,,,,
2008,60-64,male,Manufacturing,6600,,,,,,,,,,,,,,,
2007,60-64,male,Manufacturing,5600,,,,,,,,,,,,,,,
2006,60-64,male,Manufacturing,5000,,,,,,,,,,,,,,,
2005,60-64,male,Manufacturing,3100,,,,,,,,,,,,,,,
2004,60-64,male,Manufacturing,4300,,,,,,,,,,,,,,,
2003,60-64,male,Manufacturing,3400,,,,,,,,,,,,,,,
2002,60-64,male,Manufacturing,3300,,,,,,,,,,,,,,,
2001,60-64,male,Manufacturing,4500,,,,,,,,,,,,,,,
2000,60-64,male,Manufacturing,3300,,,,,,,,,,,,,,,
2021,65 and older,male,Manufacturing,11400,,,,,,,,,,,,,,,
2020,65 and older,male,Manufacturing,10200,,,,,,,,,,,,,,,
2019,65 and older,male,Manufacturing,8700,,,,,,,,,,,,,,,
2018,65 and older,male,Manufacturing,8400,,,,,,,,,,,,,,,
2017,65 and older,male,Manufacturing,7000,,,,,,,,,,,,,,,
2016,65 and older,male,Manufacturing,6800,,,,,,,,,,,,,,,
2015,65 and older,male,Manufacturing,5900,,,,,,,,,,,,,,,
2014,65 and older,male,Manufacturing,6600,,,,,,,,,,,,,,,
2013,65 and older,male,Manufacturing,6400,,,,,,,,,,,,,,,
2012,65 and older,male,Manufacturing,5900,,,,,,,,,,,,,,,
2011,65 and older,male,Manufacturing,5100,,,,,,,,,,,,,,,
2010,65 and older,male,Manufacturing,4300,,,,,,,,,,,,,,,
2009,65 and older,male,Manufacturing,4300,,,,,,,,,,,,,,,
2008,65 and older,male,Manufacturing,3400,,,,,,,,,,,,,,,
2007,65 and older,male,Manufacturing,3300,,,,,,,,,,,,,,,
2006,65 and older,male,Manufacturing,2600,,,,,,,,,,,,,,,
2005,65 and older,male,Manufacturing,1900,,,,,,,,,,,,,,,
2004,65 and older,male,Manufacturing,2200,,,,,,,,,,,,,,,
2003,65 and older,male,Manufacturing,2100,,,,,,,,,,,,,,,
2002,65 and older,male,Manufacturing,2600,,,,,,,,,,,,,,,
2001,65 and older,male,Manufacturing,1900,,,,,,,,,,,,,,,
2000,65 and older,male,Manufacturing,1900,,,,,,,,,,,,,,,
2021,15-19,female,Construction,400,,,,,,,,,,,,,,,
2020,15-19,female,Construction,100,,,,,,,,,,,,,,,
2019,15-19,female,Construction,100,,,,,,,,,,,,,,,
2018,15-19,female,Construction,0,,,,,,,,,,,,,,,
2017,15-19,female,Construction,200,,,,,,,,,,,,,,,
2016,15-19,female,Construction,0,,,,,,,,,,,,,,,
2015,15-19,female,Construction,200,,,,,,,,,,,,,,,
2014,15-19,female,Construction,100,,,,,,,,,,,,,,,
2013,15-19,female,Construction,0,,,,,,,,,,,,,,,
2012,15-19,female,Construction,100,,,,,,,,,,,,,,,
2011,15-19,female,Construction,0,,,,,,,,,,,,,,,
2010,15-19,female,Construction,100,,,,,,,,,,,,,,,
2009,15-19,female,Construction,100,,,,,,,,,,,,,,,
2008,15-19,female,Construction,100,,,,,,,,,,,,,,,
2007,15-19,female,Construction,200,,,,,,,,,,,,,,,
2006,15-19,female,Construction,0,,,,,,,,,,,,,,,
2005,15-19,female,Construction,0,,,,,,,,,,,,,,,
2004,15-19,female,Construction,100,,,,,,,,,,,,,,,
2003,15-19,female,Construction,100,,,,,,,,,,,,,,,
2002,15-19,female,Construction,200,,,,,,,,,,,,,,,
2001,15-19,female,Construction,100,,,,,,,,,,,,,,,
2000,15-19,female,Construction,100,,,,,,,,,,,,,,,
2021,20-24,female,Construction,1100,,,,,,,,,,,,,,,
2020,20-24,female,Construction,1200,,,,,,,,,,,,,,,
2019,20-24,female,Construction,700,,,,,,,,,,,,,,,
2018,20-24,female,Construction,900,,,,,,,,,,,,,,,
2017,20-24,female,Construction,1300,,,,,,,,,,,,,,,
2016,20-24,female,Construction,800,,,,,,,,,,,,,,,
2015,20-24,female,Construction,1400,,,,,,,,,,,,,,,
2014,20-24,female,Construction,1100,,,,,,,,,,,,,,,
2013,20-24,female,Construction,900,,,,,,,,,,,,,,,
2012,20-24,female,Construction,1500,,,,,,,,,,,,,,,
2011,20-24,female,Construction,1100,,,,,,,,,,,,,,,
2010,20-24,female,Construction,1000,,,,,,,,,,,,,,,
2009,20-24,female,Construction,1100,,,,,,,,,,,,,,,
2008,20-24,female,Construction,1100,,,,,,,,,,,,,,,
2007,20-24,female,Construction,1000,,,,,,,,,,,,,,,
2006,20-24,female,Construction,1100,,,,,,,,,,,,,,,
2005,20-24,female,Construction,500,,,,,,,,,,,,,,,
2004,20-24,female,Construction,900,,,,,,,,,,,,,,,
2003,20-24,female,Construction,1400,,,,,,,,,,,,,,,
2002,20-24,female,Construction,900,,,,,,,,,,,,,,,
2001,20-24,female,Construction,1200,,,,,,,,,,,,,,,
2000,20-24,female,Construction,1500,,,,,,,,,,,,,,,
2021,25-29,female,Construction,1800,,,,,,,,,,,,,,,
2020,25-29,female,Construction,2400,,,,,,,,,,,,,,,
2019,25-29,female,Construction,1800,,,,,,,,,,,,,,,
2018,25-29,female,Construction,2000,,,,,,,,,,,,,,,
2017,25-29,female,Construction,2000,,,,,,,,,,,,,,,
2016,25-29,female,Construction,2300,,,,,,,,,,,,,,,
2015,25-29,female,Construction,1900,,,,,,,,,,,,,,,
2014,25-29,female,Construction,2700,,,,,,,,,,,,,,,
2013,25-29,female,Construction,1600,,,,,,,,,,,,,,,
2012,25-29,female,Construction,2000,,,,,,,,,,,,,,,
2011,25-29,female,Construction,1800,,,,,,,,,,,,,,,
2010,25-29,female,Construction,2900,,,,,,,,,,,,,,,
2009,25-29,female,Construction,2300,,,,,,,,,,,,,,,
2008,25-29,female,Construction,1700,,,,,,,,,,,,,,,
2007,25-29,female,Construction,1700,,,,,,,,,,,,,,,
2006,25-29,female,Construction,1900,,,,,,,,,,,,,,,
2005,25-29,female,Construction,1700,,,,,,,,,,,,,,,
2004,25-29,female,Construction,1700,,,,,,,,,,,,,,,
2003,25-29,female,Construction,2900,,,,,,,,,,,,,,,
2002,25-29,female,Construction,2800,,,,,,,,,,,,,,,
2001,25-29,female,Construction,3200,,,,,,,,,,,,,,,
2000,25-29,female,Construction,2900,,,,,,,,,,,,,,,
2021,30-34,female,Construction,3300,,,,,,,,,,,,,,,
2020,30-34,female,Construction,3400,,,,,,,,,,,,,,,
2019,30-34,female,Construction,2800,,,,,,,,,,,,,,,
2018,30-34,female,Construction,3400,,,,,,,,,,,,,,,
2017,30-34,female,Construction,4000,,,,,,,,,,,,,,,
2016,30-34,female,Construction,3500,,,,,,,,,,,,,,,
2015,30-34,female,Construction,3900,,,,,,,,,,,,,,,
2014,30-34,female,Construction,2800,,,,,,,,,,,,,,,
2013,30-34,female,Construction,2700,,,,,,,,,,,,,,,
2012,30-34,female,Construction,2400,,,,,,,,,,,,,,,
2011,30-34,female,Construction,3200,,,,,,,,,,,,,,,
2010,30-34,female,Construction,3400,,,,,,,,,,,,,,,
2009,30-34,female,Construction,3900,,,,,,,,,,,,,,,
2008,30-34,female,Construction,2400,,,,,,,,,,,,,,,
2007,30-34,female,Construction,2900,,,,,,,,,,,,,,,
2006,30-34,female,Construction,2900,,,,,,,,,,,,,,,
2005,30-34,female,Construction,3000,,,,,,,,,,,,,,,
2004,30-34,female,Construction,2700,,,,,,,,,,,,,,,
2003,30-34,female,Construction,3400,,,,,,,,,,,,,,,
2002,30-34,female,Construction,3300,,,,,,,,,,,,,,,
2001,30-34,female,Construction,3200,,,,,,,,,,,,,,,
2000,30-34,female,Construction,2900,,,,,,,,,,,,,,,
2021,35-39,female,Construction,4100,,,,,,,,,,,,,,,
2020,35-39,female,Construction,3400,,,,,,,,,,,,,,,
2019,35-39,female,Construction,3200,,,,,,,,,,,,,,,
2018,35-39,female,Construction,3400,,,,,,,,,,,,,,,
2017,35-39,female,Construction,4400,,,,,,,,,,,,,,,
2016,35-39,female,Construction,4000,,,,,,,,,,,,,,,
2015,35-39,female,Construction,4300,,,,,,,,,,,,,,,
2014,35-39,female,Construction,3100,,,,,,,,,,,,,,,
2013,35-39,female,Construction,3500,,,,,,,,,,,,,,,
2012,35-39,female,Construction,3500,,,,,,,,,,,,,,,
2011,35-39,female,Construction,3700,,,,,,,,,,,,,,,
2010,35-39,female,Construction,3900,,,,,,,,,,,,,,,
2009,35-39,female,Construction,4900,,,,,,,,,,,,,,,
2008,35-39,female,Construction,3800,,,,,,,,,,,,,,,
2007,35-39,female,Construction,3100,,,,,,,,,,,,,,,
2006,35-39,female,Construction,2900,,,,,,,,,,,,,,,
2005,35-39,female,Construction,2800,,,,,,,,,,,,,,,
2004,35-39,female,Construction,3200,,,,,,,,,,,,,,,
2003,35-39,female,Construction,3400,,,,,,,,,,,,,,,
2002,35-39,female,Construction,2600,,,,,,,,,,,,,,,
2001,35-39,female,Construction,3800,,,,,,,,,,,,,,,
2000,35-39,female,Construction,2800,,,,,,,,,,,,,,,
2021,40-44,female,Construction,3600,,,,,,,,,,,,,,,
2020,40-44,female,Construction,3000,,,,,,,,,,,,,,,
2019,40-44,female,Construction,3900,,,,,,,,,,,,,,,
2018,40-44,female,Construction,4200,,,,,,,,,,,,,,,
2017,40-44,female,Construction,4000,,,,,,,,,,,,,,,
2016,40-44,female,Construction,3500,,,,,,,,,,,,,,,
2015,40-44,female,Construction,3900,,,,,,,,,,,,,,,
2014,40-44,female,Construction,3300,,,,,,,,,,,,,,,
2013,40-44,female,Construction,3100,,,,,,,,,,,,,,,
2012,40-44,female,Construction,3300,,,,,,,,,,,,,,,
2011,40-44,female,Construction,4200,,,,,,,,,,,,,,,
2010,40-44,female,Construction,3500,,,,,,,,,,,,,,,
2009,40-44,female,Construction,4400,,,,,,,,,,,,,,,
2008,40-44,female,Construction,3900,,,,,,,,,,,,,,,
2007,40-44,female,Construction,3200,,,,,,,,,,,,,,,
2006,40-44,female,Construction,3400,,,,,,,,,,,,,,,
2005,40-44,female,Construction,2800,,,,,,,,,,,,,,,
2004,40-44,female,Construction,2300,,,,,,,,,,,,,,,
2003,40-44,female,Construction,3000,,,,,,,,,,,,,,,
2002,40-44,female,Construction,2300,,,,,,,,,,,,,,,
2001,40-44,female,Construction,3000,,,,,,,,,,,,,,,
2000,40-44,female,Construction,2200,,,,,,,,,,,,,,,
2021,45-49,female,Construction,3600,,,,,,,,,,,,,,,
2020,45-49,female,Construction,3300,,,,,,,,,,,,,,,
2019,45-49,female,Construction,3500,,,,,,,,,,,,,,,
2018,45-49,female,Construction,4000,,,,,,,,,,,,,,,
2017,45-49,female,Construction,3800,,,,,,,,,,,,,,,
2016,45-49,female,Construction,3400,,,,,,,,,,,,,,,
2015,45-49,female,Construction,3900,,,,,,,,,,,,,,,
2014,45-49,female,Construction,3700,,,,,,,,,,,,,,,
2013,45-49,female,Construction,4200,,,,,,,,,,,,,,,
2012,45-49,female,Construction,4700,,,,,,,,,,,,,,,
2011,45-49,female,Construction,3500,,,,,,,,,,,,,,,
2010,45-49,female,Construction,3600,,,,,,,,,,,,,,,
2009,45-49,female,Construction,4000,,,,,,,,,,,,,,,
2008,45-49,female,Construction,3600,,,,,,,,,,,,,,,
2007,45-49,female,Construction,3100,,,,,,,,,,,,,,,
2006,45-49,female,Construction,2700,,,,,,,,,,,,,,,
2005,45-49,female,Construction,2300,,,,,,,,,,,,,,,
2004,45-49,female,Construction,2000,,,,,,,,,,,,,,,
2003,45-49,female,Construction,2100,,,,,,,,,,,,,,,
2002,45-49,female,Construction,1500,,,,,,,,,,,,,,,
2001,45-49,female,Construction,1600,,,,,,,,,,,,,,,
2000,45-49,female,Construction,1200,,,,,,,,,,,,,,,
2021,50-54,female,Construction,3800,,,,,,,,,,,,,,,
2020,50-54,female,Construction,3900,,,,,,,,,,,,,,,
2019,50-54,female,Construction,4500,,,,,,,,,,,,,,,
2018,50-54,female,Construction,3600,,,,,,,,,,,,,,,
2017,50-54,female,Construction,3200,,,,,,,,,,,,,,,
2016,50-54,female,Construction,3700,,,,,,,,,,,,,,,
2015,50-54,female,Construction,4600,,,,,,,,,,,,,,,
2014,50-54,female,Construction,3900,,,,,,,,,,,,,,,
2013,50-54,female,Construction,4000,,,,,,,,,,,,,,,
2012,50-54,female,Construction,3200,,,,,,,,,,,,,,,
2011,50-54,female,Construction,2200,,,,,,,,,,,,,,,
2010,50-54,female,Construction,2900,,,,,,,,,,,,,,,
2009,50-54,female,Construction,2800,,,,,,,,,,,,,,,
2008,50-54,female,Construction,2400,,,,,,,,,,,,,,,
2007,50-54,female,Construction,2000,,,,,,,,,,,,,,,
2006,50-54,female,Construction,1400,,,,,,,,,,,,,,,
2005,50-54,female,Construction,1300,,,,,,,,,,,,,,,
2004,50-54,female,Construction,1100,,,,,,,,,,,,,,,
2003,50-54,female,Construction,800,,,,,,,,,,,,,,,
2002,50-54,female,Construction,800,,,,,,,,,,,,,,,
2001,50-54,female,Construction,600,,,,,,,,,,,,,,,
2000,50-54,female,Construction,600,,,,,,,,,,,,,,,
2021,55-59,female,Construction,3000,,,,,,,,,,,,,,,
2020,55-59,female,Construction,3100,,,,,,,,,,,,,,,
2019,55-59,female,Construction,3100,,,,,,,,,,,,,,,
2018,55-59,female,Construction,2300,,,,,,,,,,,,,,,
2017,55-59,female,Construction,2600,,,,,,,,,,,,,,,
2016,55-59,female,Construction,3800,,,,,,,,,,,,,,,
2015,55-59,female,Construction,3200,,,,,,,,,,,,,,,
2014,55-59,female,Construction,1900,,,,,,,,,,,,,,,
2013,55-59,female,Construction,2100,,,,,,,,,,,,,,,
2012,55-59,female,Construction,1800,,,,,,,,,,,,,,,
2011,55-59,female,Construction,1700,,,,,,,,,,,,,,,
2010,55-59,female,Construction,1100,,,,,,,,,,,,,,,
2009,55-59,female,Construction,1500,,,,,,,,,,,,,,,
2008,55-59,female,Construction,800,,,,,,,,,,,,,,,
2007,55-59,female,Construction,700,,,,,,,,,,,,,,,
2006,55-59,female,Construction,500,,,,,,,,,,,,,,,
2005,55-59,female,Construction,600,,,,,,,,,,,,,,,
2004,55-59,female,Construction,600,,,,,,,,,,,,,,,
2003,55-59,female,Construction,400,,,,,,,,,,,,,,,
2002,55-59,female,Construction,400,,,,,,,,,,,,,,,
2001,55-59,female,Construction,200,,,,,,,,,,,,,,,
2000,55-59,female,Construction,200,,,,,,,,,,,,,,,
2021,60-64,female,Construction,2500,,,,,,,,,,,,,,,
2020,60-64,female,Construction,2500,,,,,,,,,,,,,,,
2019,60-64,female,Construction,1700,,,,,,,,,,,,,,,
2018,60-64,female,Construction,2100,,,,,,,,,,,,,,,
2017,60-64,female,Construction,1500,,,,,,,,,,,,,,,
2016,60-64,female,Construction,1600,,,,,,,,,,,,,,,
2015,60-64,female,Construction,1200,,,,,,,,,,,,,,,
2014,60-64,female,Construction,1000,,,,,,,,,,,,,,,
2013,60-64,female,Construction,1200,,,,,,,,,,,,,,,
2012,60-64,female,Construction,900,,,,,,,,,,,,,,,
2011,60-64,female,Construction,600,,,,,,,,,,,,,,,
2010,60-64,female,Construction,400,,,,,,,,,,,,,,,
2009,60-64,female,Construction,500,,,,,,,,,,,,,,,
2008,60-64,female,Construction,500,,,,,,,,,,,,,,,
2007,60-64,female,Construction,400,,,,,,,,,,,,,,,
2006,60-64,female,Construction,300,,,,,,,,,,,,,,,
2005,60-64,female,Construction,200,,,,,,,,,,,,,,,
2004,60-64,female,Construction,200,,,,,,,,,,,,,,,
2003,60-64,female,Construction,200,,,,,,,,,,,,,,,
2002,60-64,female,Construction,100,,,,,,,,,,,,,,,
2001,60-64,female,Construction,200,,,,,,,,,,,,,,,
2000,60-64,female,Construction,200,,,,,,,,,,,,,,,
2021,65 and older,female,Construction,2600,,,,,,,,,,,,,,,
2020,65 and older,female,Construction,2100,,,,,,,,,,,,,,,
2019,65 and older,female,Construction,1600,,,,,,,,,,,,,,,
2018,65 and older,female,Construction,1800,,,,,,,,,,,,,,,
2017,65 and older,female,Construction,1700,,,,,,,,,,,,,,,
2016,65 and older,female,Construction,1300,,,,,,,,,,,,,,,
2015,65 and older,female,Construction,1500,,,,,,,,,,,,,,,
2014,65 and older,female,Construction,1600,,,,,,,,,,,,,,,
2013,65 and older,female,Construction,700,,,,,,,,,,,,,,,
2012,65 and older,female,Construction,600,,,,,,,,,,,,,,,
2011,65 and older,female,Construction,300,,,,,,,,,,,,,,,
2010,65 and older,female,Construction,500,,,,,,,,,,,,,,,
2009,65 and older,female,Construction,500,,,,,,,,,,,,,,,
2008,65 and older,female,Construction,200,,,,,,,,,,,,,,,
2007,65 and older,female,Construction,400,,,,,,,,,,,,,,,
2006,65 and older,female,Construction,200,,,,,,,,,,,,,,,
2005,65 and older,female,Construction,100,,,,,,,,,,,,,,,
2004,65 and older,female,Construction,100,,,,,,,,,,,,,,,
2003,65 and older,female,Construction,0,,,,,,,,,,,,,,,
2002,65 and older,female,Construction,0,,,,,,,,,,,,,,,
2001,65 and older,female,Construction,0,,,,,,,,,,,,,,,
2000,65 and older,female,Construction,0,,,,,,,,,,,,,,,
2021,15-19,male,Construction,100,,,,,,,,,,,,,,,
2020,15-19,male,Construction,100,,,,,,,,,,,,,,,
2019,15-19,male,Construction,300,,,,,,,,,,,,,,,
2018,15-19,male,Construction,100,,,,,,,,,,,,,,,
2017,15-19,male,Construction,0,,,,,,,,,,,,,,,
2016,15-19,male,Construction,300,,,,,,,,,,,,,,,
2015,15-19,male,Construction,200,,,,,,,,,,,,,,,
2014,15-19,male,Construction,0,,,,,,,,,,,,,,,
2013,15-19,male,Construction,0,,,,,,,,,,,,,,,
2012,15-19,male,Construction,100,,,,,,,,,,,,,,,
2011,15-19,male,Construction,200,,,,,,,,,,,,,,,
2010,15-19,male,Construction,0,,,,,,,,,,,,,,,
2009,15-19,male,Construction,200,,,,,,,,,,,,,,,
2008,15-19,male,Construction,100,,,,,,,,,,,,,,,
2007,15-19,male,Construction,100,,,,,,,,,,,,,,,
2006,15-19,male,Construction,100,,,,,,,,,,,,,,,
2005,15-19,male,Construction,0,,,,,,,,,,,,,,,
2004,15-19,male,Construction,200,,,,,,,,,,,,,,,
2003,15-19,male,Construction,100,,,,,,,,,,,,,,,
2002,15-19,male,Construction,100,,,,,,,,,,,,,,,
2001,15-19,male,Construction,200,,,,,,,,,,,,,,,
2000,15-19,male,Construction,100,,,,,,,,,,,,,,,
2021,20-24,male,Construction,900,,,,,,,,,,,,,,,
2020,20-24,male,Construction,800,,,,,,,,,,,,,,,
2019,20-24,male,Construction,600,,,,,,,,,,,,,,,
2018,20-24,male,Construction,1000,,,,,,,,,,,,,,,
2017,20-24,male,Construction,1300,,,,,,,,,,,,,,,
2016,20-24,male,Construction,1100,,,,,,,,,,,,,,,
2015,20-24,male,Construction,1300,,,,,,,,,,,,,,,
2014,20-24,male,Construction,1200,,,,,,,,,,,,,,,
2013,20-24,male,Construction,1100,,,,,,,,,,,,,,,
2012,20-24,male,Construction,1300,,,,,,,,,,,,,,,
2011,20-24,male,Construction,900,,,,,,,,,,,,,,,
2010,20-24,male,Construction,1100,,,,,,,,,,,,,,,
2009,20-24,male,Construction,1100,,,,,,,,,,,,,,,
2008,20-24,male,Construction,1200,,,,,,,,,,,,,,,
2007,20-24,male,Construction,900,,,,,,,,,,,,,,,
2006,20-24,male,Construction,1100,,,,,,,,,,,,,,,
2005,20-24,male,Construction,900,,,,,,,,,,,,,,,
2004,20-24,male,Construction,1300,,,,,,,,,,,,,,,
2003,20-24,male,Construction,800,,,,,,,,,,,,,,,
2002,20-24,male,Construction,1300,,,,,,,,,,,,,,,
2001,20-24,male,Construction,1400,,,,,,,,,,,,,,,
2000,20-24,male,Construction,1800,,,,,,,,,,,,,,,
2021,25-29,male,Construction,4000,,,,,,,,,,,,,,,
2020,25-29,male,Construction,3600,,,,,,,,,,,,,,,
2019,25-29,male,Construction,3500,,,,,,,,,,,,,,,
2018,25-29,male,Construction,3500,,,,,,,,,,,,,,,
2017,25-29,male,Construction,3700,,,,,,,,,,,,,,,
2016,25-29,male,Construction,4300,,,,,,,,,,,,,,,
2015,25-29,male,Construction,3700,,,,,,,,,,,,,,,
2014,25-29,male,Construction,3800,,,,,,,,,,,,,,,
2013,25-29,male,Construction,3000,,,,,,,,,,,,,,,
2012,25-29,male,Construction,4500,,,,,,,,,,,,,,,
2011,25-29,male,Construction,3500,,,,,,,,,,,,,,,
2010,25-29,male,Construction,4700,,,,,,,,,,,,,,,
2009,25-29,male,Construction,4100,,,,,,,,,,,,,,,
2008,25-29,male,Construction,3800,,,,,,,,,,,,,,,
2007,25-29,male,Construction,3500,,,,,,,,,,,,,,,
2006,25-29,male,Construction,3400,,,,,,,,,,,,,,,
2005,25-29,male,Construction,3800,,,,,,,,,,,,,,,
2004,25-29,male,Construction,3900,,,,,,,,,,,,,,,
2003,25-29,male,Construction,4400,,,,,,,,,,,,,,,
2002,25-29,male,Construction,6000,,,,,,,,,,,,,,,
2001,25-29,male,Construction,6300,,,,,,,,,,,,,,,
2000,25-29,male,Construction,7600,,,,,,,,,,,,,,,
2021,30-34,male,Construction,6500,,,,,,,,,,,,,,,
2020,30-34,male,Construction,6300,,,,,,,,,,,,,,,
2019,30-34,male,Construction,4400,,,,,,,,,,,,,,,
2018,30-34,male,Construction,5300,,,,,,,,,,,,,,,
2017,30-34,male,Construction,5700,,,,,,,,,,,,,,,
2016,30-34,male,Construction,3900,,,,,,,,,,,,,,,
2015,30-34,male,Construction,5800,,,,,,,,,,,,,,,
2014,30-34,male,Construction,5200,,,,,,,,,,,,,,,
2013,30-34,male,Construction,5200,,,,,,,,,,,,,,,
2012,30-34,male,Construction,4700,,,,,,,,,,,,,,,
2011,30-34,male,Construction,5300,,,,,,,,,,,,,,,
2010,30-34,male,Construction,7200,,,,,,,,,,,,,,,
2009,30-34,male,Construction,7000,,,,,,,,,,,,,,,
2008,30-34,male,Construction,7000,,,,,,,,,,,,,,,
2007,30-34,male,Construction,7100,,,,,,,,,,,,,,,
2006,30-34,male,Construction,6300,,,,,,,,,,,,,,,
2005,30-34,male,Construction,7600,,,,,,,,,,,,,,,
2004,30-34,male,Construction,8600,,,,,,,,,,,,,,,
2003,30-34,male,Construction,9900,,,,,,,,,,,,,,,
2002,30-34,male,Construction,8700,,,,,,,,,,,,,,,
2001,30-34,male,Construction,10900,,,,,,,,,,,,,,,
2000,30-34,male,Construction,11500,,,,,,,,,,,,,,,
2021,35-39,male,Construction,5600,,,,,,,,,,,,,,,
2020,35-39,male,Construction,6600,,,,,,,,,,,,,,,
2019,35-39,male,Construction,6200,,,,,,,,,,,,,,,
2018,35-39,male,Construction,7200,,,,,,,,,,,,,,,
2017,35-39,male,Construction,6400,,,,,,,,,,,,,,,
2016,35-39,male,Construction,7100,,,,,,,,,,,,,,,
2015,35-39,male,Construction,5900,,,,,,,,,,,,,,,
2014,35-39,male,Construction,5300,,,,,,,,,,,,,,,
2013,35-39,male,Construction,7800,,,,,,,,,,,,,,,
2012,35-39,male,Construction,8500,,,,,,,,,,,,,,,
2011,35-39,male,Construction,9000,,,,,,,,,,,,,,,
2010,35-39,male,Construction,9600,,,,,,,,,,,,,,,
2009,35-39,male,Construction,10900,,,,,,,,,,,,,,,
2008,35-39,male,Construction,9700,,,,,,,,,,,,,,,
2007,35-39,male,Construction,11600,,,,,,,,,,,,,,,
2006,35-39,male,Construction,10900,,,,,,,,,,,,,,,
2005,35-39,male,Construction,10900,,,,,,,,,,,,,,,
2004,35-39,male,Construction,11500,,,,,,,,,,,,,,,
2003,35-39,male,Construction,13300,,,,,,,,,,,,,,,
2002,35-39,male,Construction,15900,,,,,,,,,,,,,,,
2001,35-39,male,Construction,17200,,,,,,,,,,,,,,,
2000,35-39,male,Construction,16500,,,,,,,,,,,,,,,
2021,40-44,male,Construction,6400,,,,,,,,,,,,,,,
2020,40-44,male,Construction,6900,,,,,,,,,,,,,,,
2019,40-44,male,Construction,6700,,,,,,,,,,,,,,,
2018,40-44,male,Construction,8400,,,,,,,,,,,,,,,
2017,40-44,male,Construction,8600,,,,,,,,,,,,,,,
2016,40-44,male,Construction,8700,,,,,,,,,,,,,,,
2015,40-44,male,Construction,9300,,,,,,,,,,,,,,,
2014,40-44,male,Construction,9000,,,,,,,,,,,,,,,
2013,40-44,male,Construction,9900,,,,,,,,,,,,,,,
2012,40-44,male,Construction,10800,,,,,,,,,,,,,,,
2011,40-44,male,Construction,10200,,,,,,,,,,,,,,,
2010,40-44,male,Construction,11500,,,,,,,,,,,,,,,
2009,40-44,male,Construction,14000,,,,,,,,,,,,,,,
2008,40-44,male,Construction,15600,,,,,,,,,,,,,,,
2007,40-44,male,Construction,14100,,,,,,,,,,,,,,,
2006,40-44,male,Construction,15200,,,,,,,,,,,,,,,
2005,40-44,male,Construction,15800,,,,,,,,,,,,,,,
2004,40-44,male,Construction,18000,,,,,,,,,,,,,,,
2003,40-44,male,Construction,17100,,,,,,,,,,,,,,,
